index,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
2530,br,brasilia,-15.783332999999999,-47.916667,68.0,88.0,0.0,2.24
38021,ru,selishche,56.887937,33.26914,24.72,95.0,88.0,4.74
13112,ge,martvili,42.4152778,42.3738889,50.0,61.0,0.0,25.28
16572,id,wonopringgo,-6.983333,109.61666699999999,77.14,91.0,92.0,2.39
36765,ru,lavrentiya,65.583333,-171.0,30.66,100.0,56.0,14.36
30793,pk,jampur,29.644138,70.59543599999999,64.9,92.0,0.0,9.89
33722,ro,ogrezeni,44.419722,25.768333,34.68,93.0,0.0,9.17
28985,ph,manapla,10.958033,123.12300400000001,83.53,75.0,20.0,8.95
14111,gr,perama,37.96805560000001,23.565,48.2,87.0,20.0,12.12
23477,mx,buenavista,17.6625,-92.708333,71.6,100.0,5.0,6.93
24198,mx,nopaltepec,19.8,-98.7,,,,
4568,ca,deep river,46.166667,-77.56666700000001,35.6,98.0,88.0,9.17
36281,ru,khazar,41.997402,48.333246,49.47,94.0,8.0,11.86
30332,ph,tagburos,9.8279,118.743,89.6,62.0,40.0,4.7
38162,ru,shumikha,55.226110999999996,63.296110999999996,25.66,80.0,80.0,11.9
3562,br,paraguacu,-21.55,-45.733333,64.72,99.0,92.0,3.29
32201,ro,bala,44.883889,22.833333,22.11,83.0,44.0,2.24
1556,be,hoeilaart,50.766667,4.466667,39.16,93.0,75.0,5.82
34732,ro,vitomiresti,44.866667,24.4,27.51,89.0,64.0,2.8
16866,in,alanganallur,10.066667,78.05,82.4,65.0,75.0,3.36
31764,pt,rio maior,39.337325,-8.939063,36.0,65.0,0.0,6.93
32278,ro,beceni,45.383333,26.783333000000002,23.64,92.0,48.0,2.84
24677,mx,teteles,19.866667,-97.43333299999999,48.12,83.0,8.0,1.79
19900,ir,ilam,33.6374,46.4227,37.4,47.0,0.0,4.7
9703,de,sundern,51.333333,8.0,39.2,93.0,90.0,9.17
10814,es,galdar,28.14252,-15.654224,64.4,68.0,40.0,13.87
22100,ki,rungata,-1.35,176.43333330000002,,,,
8362,cz,velesin,48.830490000000005,14.463114000000001,27.64,78.0,56.0,13.58
34013,ro,rediu,47.216667,27.5,32.0,94.0,90.0,2.24
10308,ec,canar,-2.55,-78.9333333,55.4,87.0,75.0,3.36
10525,ee,saku,59.30222220000001,24.6577778,35.6,100.0,90.0,6.93
